排名,小区名称,上月价格,本月价格,涨跌幅,历史高价,单位,更新频率,数据范围
1,虹景花园,2605,2919,↑12.05%,3418,元/㎡,周度,2020-2022
2,碧桂园翡翠湾,5000,5479,↑9.58%,5736,元/㎡,周度,2016-2022
3,滨湖公馆三期,4206,4594,↑9.22%,5008,元/㎡,周度,2020-2022
4,金色水岸,5488,5917,↑7.82%,6325,元/㎡,周度,2015-2022
5,咸宁天地,4568,4917,↑7.64%,5248,元/㎡,周度,2014-2022
6,香榭里,2891,3092,↑6.95%,3782,元/㎡,周度,2016-2022
7,景泰园小区,3530,3773,↑6.88%,3821,元/㎡,周度,2016-2022
8,凯丰新村,4221,4485,↑6.25%,4849,元/㎡,周度,2016-2022
9,湖畔花城,4400,4664,↑6%,5082,元/㎡,周度,2016-2022
10,平安滨江苑,5262,5577,↑5.99%,5638,元/㎡,周度,2014-2022
排名,小区名称,上月价格,本月价格,涨跌幅,历史高价,单位,更新频率,数据范围
1,锦绣天成C区,6177,5540,↓-10.31%,6810,元/㎡,周度,2020-2022
2,锦绣天成B区,6177,5541,↓-10.3%,6810,元/㎡,周度,2020-2022
3,凯鸿国际华城一区,6229,5590,↓-10.26%,6786,元/㎡,周度,2020-2022
4,水木岚庭,4264,3866,↓-9.32%,4653,元/㎡,周度,2014-2022
5,银泉明珠,3982,3649,↓-8.35%,4456,元/㎡,周度,2016-2022
6,书香雅苑,4857,4467,↓-8.03%,4946,元/㎡,周度,2014-2022
7,锦绣天成,5645,5249,↓-7.02%,6301,元/㎡,周度,2016-2022
8,凯翔康城,4812,4474,↓-7.02%,4989,元/㎡,周度,2016-2022
9,天洁国际城罗马城,5983,5579,↓-6.75%,6607,元/㎡,周度,2018-2022
10,怡景花园西区,4440,4142,↓-6.71%,5010,元/㎡,周度,2020-2022
