排名,小区名称,上月价格,本月价格,涨跌幅,历史高价,单位,更新频率,数据范围
1,阳光花园,6862,7699,↑12.2%,8158,元/㎡,周度,2011-2022
2,维多利亚港湾别墅,10324,11565,↑12.02%,11916,元/㎡,周度,2018-2022
3,龙盘湖高尔夫别墅二期,10990,12112,↑10.21%,12696,元/㎡,周度,2021-2022
4,英郡年华,5690,6261,↑10.04%,6300,元/㎡,周度,2020-2022
5,佳恒南郡天下,4729,5110,↑8.06%,5299,元/㎡,周度,2012-2022
6,半岛花园二期,10140,10893,↑7.43%,11556,元/㎡,周度,2014-2022
7,江山多娇别墅,9282,9891,↑6.56%,10166,元/㎡,周度,2018-2022
8,山水龙城E区,6280,6679,↑6.35%,6935,元/㎡,周度,2020-2022
9,清波小区,6601,7007,↑6.15%,7433,元/㎡,周度,2016-2022
10,江山风华,11112,11768,↑5.9%,13781,元/㎡,周度,2016-2022
排名,小区名称,上月价格,本月价格,涨跌幅,历史高价,单位,更新频率,数据范围
1,平湖天下三期,6823,6081,↓-10.87%,7498,元/㎡,周度,2012-2022
2,万富智慧城,5617,5125,↓-8.76%,5940,元/㎡,周度,2015-2022
3,电信小区,5623,5157,↓-8.29%,6308,元/㎡,周度,2012-2022
4,鑫怡翠园,7619,7068,↓-7.23%,8376,元/㎡,周度,2012-2022
5,四季花园,7693,7160,↓-6.93%,8218,元/㎡,周度,2012-2022
6,平湖国际,8539,8041,↓-5.83%,9383,元/㎡,周度,2012-2022
7,金园小区,3238,3052,↓-5.74%,4203,元/㎡,周度,2016-2022
8,农机小区,7559,7162,↓-5.25%,8755,元/㎡,周度,2020-2022
9,永彬小区,1542,1461,↓-5.25%,1629,元/㎡,周度,2020-2022
10,荣祥茗苑,4768,4536,↓-4.87%,5100,元/㎡,周度,2016-2022
